4 18
5 24
6 21
6 24
7 25
8 26
9 21
11 5
11 24
17 20
19 21
19 28
20 11
20 24
21 24
21 28
28 19
28 27
29 24
30 20
35 19
37 12
37 16
39 28
40 19
40 22
40 26
41 12
41 15
43 28
45 26
47 11
53 26
54 16
55 26
58 21
60 21
63 15
71 26
73 26
73 28
77 10
78 21
78 24
78 26
82 22
83 10
87 10
90 19
94 20
95 20
95 24
96 12
96 20
99 10
100 11
101 20
109 12
111 10
113 18
113 20
114 20
116 20
126 20
134 18
137 18
139 18
143 18
145 19
157 17
162 10
163 10
164 14
167 17
168 18
172 18
178 17
190 12
190 15
193 16
195 15
200 14
201 15
204 11
204 16
207 15
218 13
222 13
234 11
236 14
240 11
244 13
247 12
248 13
259 10
261 12
274 10
275 12
278 12
286 11
288 11
289 11
296 10
314 10
348 10
367 10
368 10
373 10
390 10
